Year,Season,City,Games,Slug
1992,Summer,Barcelona,1992 Summer,1992-summer
2012,Summer,London,2012 Summer,2012-summer
1920,Summer,Antwerpen,1920 Summer,1920-summer
1900,Summer,Paris,1900 Summer,1900-summer
1988,Winter,Calgary,1988 Winter,1988-winter
1992,Winter,Albertville,1992 Winter,1992-winter
1994,Winter,Lillehammer,1994 Winter,1994-winter
1932,Summer,Los Angeles,1932 Summer,1932-summer
2002,Winter,Salt Lake City,2002 Winter,2002-winter
1952,Summer,Helsinki,1952 Summer,1952-summer
1980,Winter,Lake Placid,1980 Winter,1980-winter
2000,Summer,Sydney,2000 Summer,2000-summer
1996,Summer,Atlanta,1996 Summer,1996-summer
1912,Summer,Stockholm,1912 Summer,1912-summer
1924,Summer,Paris,1924 Summer,1924-summer
2014,Winter,Sochi,2014 Winter,2014-winter
1948,Summer,London,1948 Summer,1948-summer
1998,Winter,Nagano,1998 Winter,1998-winter
2006,Winter,Torino,2006 Winter,2006-winter
2008,Summer,Beijing,2008 Summer,2008-summer
2016,Summer,Rio de Janeiro,2016 Summer,2016-summer
2004,Summer,Athina,2004 Summer,2004-summer
1960,Winter,Squaw Valley,1960 Winter,1960-winter
1964,Winter,Innsbruck,1964 Winter,1964-winter
1984,Winter,Sarajevo,1984 Winter,1984-winter
1984,Summer,Los Angeles,1984 Summer,1984-summer
1968,Summer,Mexico City,1968 Summer,1968-summer
1972,Summer,Munich,1972 Summer,1972-summer
1988,Summer,Seoul,1988 Summer,1988-summer
1936,Summer,Berlin,1936 Summer,1936-summer
1952,Winter,Oslo,1952 Winter,1952-winter
1956,Winter,Cortina d'Ampezzo,1956 Winter,1956-winter
1956,Summer,Melbourne,1956 Summer,1956-summer
1960,Summer,Roma,1960 Summer,1960-summer
1928,Summer,Amsterdam,1928 Summer,1928-summer
1976,Summer,Montreal,1976 Summer,1976-summer
1980,Summer,Moskva,1980 Summer,1980-summer
1964,Summer,Tokyo,1964 Summer,1964-summer
2010,Winter,Vancouver,2010 Winter,2010-winter
1968,Winter,Grenoble,1968 Winter,1968-winter
1906,Summer,Athina,1906 Summer,1906-summer
1972,Winter,Sapporo,1972 Winter,1972-winter
1976,Winter,Innsbruck,1976 Winter,1976-winter
1924,Winter,Chamonix,1924 Winter,1924-winter
1904,Summer,St. Louis,1904 Summer,1904-summer
1928,Winter,Sankt Moritz,1928 Winter,1928-winter
1908,Summer,London,1908 Summer,1908-summer
1948,Winter,Sankt Moritz,1948 Winter,1948-winter
1932,Winter,Lake Placid,1932 Winter,1932-winter
1936,Winter,Garmisch-Partenkirchen,1936 Winter,1936-winter
1896,Summer,Athina,1896 Summer,1896-summer
